Name	Quality  	Academics	Sports	Cost	Overall
Princeton	1	3	11	75	1
UNC	46	22	10	31	2
Stanford	4	5	1	110	3
Yale	14	4	5	100	4
Virginia	24	30	29	41	5
Williams	2	25	19	80	6
Michigan	38	24	9	64	7
NotreDame	6	31	32	73	8
California	50	15	20	61	9
Harvard	12	1	39	98	10
UCLA	67	20	2	66	11
Columbia	33	9	35	79	12
USNA	28	88	45	1	13
Duke	5	10	48	104	14
Amherst	3	28	50	88	15
Texas	106	36	12	18	16
Florida	71	38	59	7	17
Rice	19	11	89	58	18
Dartmouth	11	14	52	103	19
Middlebury	21	40	15	108	20
NewJersey	44	102	14	25	21
PennState	69	56	17	44	22
Oklahoma	77	86	22	9	23
CalTech		17	6	106	65	23
Maryland	91	46	28	34	25
LSU	75	99	13	12	25
